id,title,alt_title,type,num_of_ep,studio,year,rating
4800,Berserk: Golden Age Arc III - The Advent,Berserk: Ougon Jidai-hen III - Kourin,Movie,1,Studio 4°C,2013,4.4
5765,Fairy Tail 2,No alternative title found,TV Series,102,A-1 Pictures,2014,4.4
2145,One Outs,No alternative title found,TV Series,25,MADHOUSE,2008,4.4
2959,The Tatami Galaxy,Yojouhan Shinwa Taikei,TV Series,11,MADHOUSE,2010,4.4
7743,Bungou Stray Dogs 2nd Season,No alternative title found,TV Series,12,Bones,2016,4.4
3968,Gintama: Shinyaku Benizakura-hen Special,No alternative title found,DVD Special,1,Sunrise,2010,4.4
2141,Skip Beat!,No alternative title found,TV Series,25,Hal Film Maker,2008,4.4
9419,My Hero Academia The Movie: Two Heroes,Boku no Hero Academia The Movie: Futari no Hero,Movie,1,Bones,2018,4.4
1905,xxxHOLiC Kei,No alternative title found,TV Series,13,Production I.G,2008,4.4
2751,Durarara!!,No alternative title found,TV Series,24,Brain's Base,2010,4.4
2972,Kaichou wa Maid-sama!,Maid-sama!,TV Series,26,J.C. Staff,2010,4.4
5597,Girls und Panzer Movie,Girls und Panzer der Film,Movie,1,Actas,2015,4.4
1550,Tsubasa Chronicle: Tokyo Revelations,No alternative title found,OVA,3,Production I.G,2007,4.4
5958,When Marnie Was There,Omoide no Marnie,Movie,1,Studio Ghibli,2014,4.4
3200,Baccano! Specials,No alternative title found,DVD Special,3,Brain's Base,2008,4.4
1125,History's Strongest Disciple Kenichi,No alternative title found,TV Series,50,TMS Entertainment,2006,4.4
3086,xxxHOLiC Rou,No alternative title found,OVA,2,Production I.G,2010,4.4
7097,In This Corner of the World,No alternative title found,Movie,1,Mappa,2016,4.4
4997,Patema Inverted,Sakasama no Patema,Movie,1,Purple Cow Studio Japan,2013,4.4
5152,JoJo's Bizarre Adventure (2012),JoJo no Kimyou na Bouken (2012),TV Series,26,David Production,2012,4.4
7702,Youjo Senki: Saga of Tanya the Evil,No alternative title found,TV Series,12,Studio NUT,2017,4.4
9167,Hinamatsuri,No alternative title found,TV Series,12,feel.,2018,4.4
74,One Piece,No alternative title found,TV Series,859,Toei Animation,1999,4.4
3801,Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,"The Garden of Sinners Movie 3: Remaining Sense of Pain (ever cry, never life.)",Movie,1,ufotable,2008,4.4
4702,Space Brothers,Uchuu Kyoudai,TV Series,99,A-1 Pictures,2012,4.4
9068,I Want to Eat Your Pancreas,Kimi no Suizou wo Tabetai,Movie,1,Studio VOLN,2018,4.4
6779,Death Parade,No alternative title found,TV Series,12,MADHOUSE,2015,4.4
9165,Re:ZERO -Starting Life in Another World- Memory Snow,Re:Zero kara Hajimeru Isekai Seikatsu: Memory Snow,OVA,1,WHITE FOX,2018,4.4
7820,Mobile Suit Gundam: Iron-Blooded Orphans 2,No alternative title found,TV Series,25,Sunrise,2016,4.4
62,Hunter x Hunter OVA,No alternative title found,OVA,8,Nippon Animation,2002,4.4
6733,Fate/stay night: Unlimited Blade Works Prologue,No alternative title found,Other,1,ufotable,2014,4.4
2318,The House of Small Cubes,No alternative title found,Movie,1,No studio found,2008,4.4
711,Hajime no Ippo - Mashiba vs Kimura,No alternative title found,OVA,1,MADHOUSE,2003,4.4
331,Ghost in the Shell: Stand Alone Complex,No alternative title found,TV Series,26,Production I.G,2002,4.4
3376,Detective Conan Movie 14: The Lost Ship in the Sky,Meitantei Conan: Tenkuu no Lost Ship,Movie,1,TMS Entertainment,2010,4.4
2063,Natsume Yuujinchou,Natsume's Book of Friends,TV Series,13,NAS,2008,4.4
2870,Gintama: Jump Festa 2008,Gintama: Shiroyasha Koutan,Other,1,Sunrise,2008,4.4
2137,Mobile Suit Gundam 00 Second Season,No alternative title found,TV Series,25,Sunrise,2008,4.4
63,Hunter x Hunter OVA 2: Greed Island,No alternative title found,OVA,8,Nippon Animation,2003,4.4
