id,tags
6861,Urban Fantasy
6861,Violence
6861,Based on an Eroge
6861,Based on a Visual Novel
1277,Action
1277,Seinen
1277,Gangs
1277,Gunfights
1277,Lifestyle Change
1277,Mercenaries
1277,Violence
1277,Mature Themes
1277,Nudity
1277,Based on a Manga
6630,Action
6630,Fantasy
6630,Shoujo
6630,Dark Fantasy
6630,Isolated Society
6630,Military
6630,Outside World
6630,Post-apocalyptic
6630,Cannibalism
6630,Explicit Violence
6630,Based on a Manga
8679,Shounen
8679,Sports
8679,Volleyball
8679,Based on a Manga
5505,Action
5505,Adventure
5505,Comedy
5505,Fantasy
5505,Shounen
5505,Magic
5505,Magic School
5505,Middle Eastern
5505,Political
5505,School Life
5505,Based on a Manga
4576,Shounen
4576,Sports
4576,Basketball
4576,School Club
4576,Tournaments
4576,Based on a Manga
5844,Drama
5844,Shoujo
5844,Slice of Life
5844,Bodyguards
5844,Cats
5844,Countryside
5844,Iyashikei
5844,Japanese Mythology
5844,Orphans
5844,Supernatural
5844,Youkai
5844,Based on a Manga
1133,Romance
1133,Sci Fi
1133,Slice of Life
1133,School Life
1133,Time Travel
1133,Based on a Novel
4649,Drama
4649,Josei
4649,Romance
4649,Coming of Age
4649,Historical
4649,Lifestyle Change
4649,Love Triangle
4649,Music
4649,noitaminA
4649,Based on a Manga
2118,Comedy
2118,Romance
2118,Coming of Age
2118,Love Confession
2118,Neighbors
2118,Romantic Comedy
2118,School Life
2118,Tsundere
2118,Based on a Light Novel
6036,Action
6036,Fantasy
6036,Contemporary Fantasy
6036,Magic
6036,Proxy Battles
6036,Superpowers
6036,Urban Fantasy
6036,Violence
6036,Based on an Eroge
6036,Based on a Visual Novel
6605,Comedy
6605,Fantasy
6605,Romance
6605,Shoujo
6605,Animal Characteristics
6605,Japanese Mythology
6605,Master-Servant Relationship
6605,Based on a Manga
8591,Drama
8591,Fantasy
8591,Romance
8591,Apprenticeship
8591,Contemporary Fantasy
8591,England
8591,Europe
8591,Lifestyle Change
8591,Magic
8591,Orphans
8591,Animal Abuse
8591,Physical Abuse
8591,Based on a Manga
3626,Action
3626,Fantasy
3626,Contemporary Fantasy
3626,Magic
3626,Proxy Battles
3626,Rivalries
3626,Superpowers
3626,Urban Fantasy
3626,Violence
3626,Based on a Light Novel
8603,Shounen
8603,Sports
8603,Recap
8603,School Club
8603,School Life
8603,Tournaments
8603,Volleyball
8603,Based on a Manga
5517,Action
5517,Adventure
5517,Fantasy
5517,Shounen
5517,Demons
5517,Magic
5517,Medieval
5517,Overpowered Main Characters
5517,Pigs
5517,Royalty
5517,Superpowers
5517,Violence
5517,Animal Abuse
5517,Based on a Manga
1433,Action
1433,America
1433,Gangs
1433,Human Experimentation
1433,Mafia
1433,Noir
1433,Supernatural
1433,Trains
1433,Violence
1433,Based on a Light Novel
1436,Drama
1436,Shounen
1436,Sports
1436,Baseball
1436,Based on a Manga
6144,Mystery
6144,Shounen
6144,19th Century
6144,Butlers
6144,Demons
6144,England
6144,Europe
6144,Master-Servant Relationship
6144,Supernatural
6144,Based on a Manga
146,Drama
146,Fantasy
146,Environmental
146,Insects
146,Based on a Manga
1444,Drama
1444,Shounen
1444,Sports
1444,Baseball
1444,Based on a Manga
437,Action
437,Adventure
437,Drama
437,Fantasy
437,Mystery
437,Shounen
437,Conspiracy
437,Military
437,Siblings
