title,alt_title,type,num_of_ep,studio,year,rating,description,tags
Descending Stories: Shouwa Genroku Rakugo Shinjuu,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV Series,12,Studio Deen,2017,4.6,"After a decade of hard work, Yotaro has finally obtained the rank of Shinuchi and taken a new stage name. His rakugo still needs more refining, however, and he's still struggling to find a style that is all his own as he tries to save the art form from dying out. He has also dedicated himself to taking care of his aging master Yakumo and helping Konatsu raise her new baby. She refuses to reveal the identity of her child's father, but Yotaro has his suspicions. How many more secrets can these people possibly have? And can they preserve the rakugo they all love for future generations?","['Drama', 'Josei', 'Adult Couples', 'Animeism', 'Apprenticeship', 'Historical', 'Based on a Manga']"

Hajime no Ippo: The Fighting!,Fighting Spirit,TV Series,75,MADHOUSE,2000,4.6,"Ippo Makunouchi is a loser. He has no friends, he spends his free time helping his mom with work, and he's constantly being beaten up by bullies. But that all changes when one day he's saved from another beating by Takamura, an up-and-coming boxer. Soon, Ippo turns his life around with a passion for the newly discovered sport, but his new lifestyle is far from easy! Before he can even dream of becoming champion, he'll have to overcome a slew of fierce rivals and learn what 'dedication' really means.","['Action', 'Drama', 'Shounen', 'Sports', 'Boxing', 'Hand to Hand Combat', 'Weak to Strong', 'Based on a Manga']"

Code Geass: Lelouch of the Rebellion,Code Geass: Hangyaku no Lelouch,TV Series,25,Sunrise,2006,4.6,"In 2010, the Britannian Empire enslaved Japan using powerful mecha known as Knightmares; in the aftermath Japan was renamed Area 11, and its people began a hard and terrible existence. Lelouch, a Britannian student living in Area 11, has grown up hating the Empire and everything it stands for. One day, in the middle of a terrorist attack, Lelouch meets a mysterious girl who grants him the ability to control minds. Can he use his new power to fight for freedom, or will his hatred twist his good intentions into mindless acts of vengeance?","['Mecha', 'Sci Fi', 'Conspiracy', 'Mind Games', 'Original Work', 'Overpowered Main Characters', 'Political', 'Psychological', 'Real Robot', 'Rebellions', 'Revenge', 'Rivalries', 'Royalty', 'Superpowers', 'Terrorism']"

Natsume Yuujinchou Go,Natsume's Book of Friends Season 5,TV Series,11,Shuka,2016,4.6,"Takashi Natsume is a boy who's been able to see youkai ever since he was a child. Ever since he inherited the ""Book of Friends"" from his grandmother Reiko, he and his self-proclaimed bodyguard Nyanko-sensei have spent their days returning names to the youkai who are bound by the book. As he meets the different youkai and people, he finds himself with many more things that he cares about. He wonders whether it's right to keep secrets to protect someone as little by little he works up the courage to build even more friendships.","['Drama', 'Shoujo', 'Slice of Life', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga']"

Haikyuu!!,No alternative title found,TV Series,25,Production I.G,2014,4.6,"Shouyou Hinata began playing volleyball after seeing the ""little giant"" who played the sport when he was in elementary school. He suffers a crushing defeat in his first and last tournament in middle school at the hands of his rival Tobio Kageyama. So, Hinata joins Karasuno High School's volleyball team, vowing revenge against Kageyama. However, Kageyama is also on Karasuno's team. The former rivals form a legendary combo with Hinata's mobility and Kageyama's precision ball-handling. Together, they take on the local tournaments and vow to meet Karasuno's fated rival school in the nationals.","['Shounen', 'Sports', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga']"

